date,article,quantity_sold,average_unit_price_eur,transaction_lines
2021-05-03,BAGUETTE,29.0,0.9,24
2021-05-04,BAGUETTE,26.0,0.9,15
2021-05-05,BAGUETTE,30.0,0.9,22
2021-05-06,BAGUETTE,22.0,0.9,18
2021-05-07,BAGUETTE,29.0,0.9,24
2021-05-08,BAGUETTE,53.0,0.9,32
2021-05-09,BAGUETTE,45.0,0.9,33
2021-05-10,BAGUETTE,26.0,0.9,25
2021-05-11,BAGUETTE,39.0,0.9,26
2021-05-12,BAGUETTE,41.0,0.9,31
2021-05-13,BAGUETTE,57.0,0.9,40
2021-05-14,BAGUETTE,66.0,0.9,39
2021-05-15,BAGUETTE,84.0,0.9,50
2021-05-16,BAGUETTE,73.0,0.9,48
2021-05-21,BAGUETTE,22.0,0.9,14
2021-05-22,BAGUETTE,44.0,0.9,27
2021-05-23,BAGUETTE,68.0,0.9,38
2021-05-24,BAGUETTE,51.0,0.9,31
2021-05-25,BAGUETTE,37.0,0.9,28
2021-05-26,BAGUETTE,19.0,0.9,17
2021-05-27,BAGUETTE,32.0,0.9,22
2021-05-28,BAGUETTE,19.0,0.9,15
2021-05-29,BAGUETTE,50.0,0.9,25
2021-05-30,BAGUETTE,55.0,0.9,28
2021-05-31,BAGUETTE,28.0,0.9,21
2021-06-01,BAGUETTE,29.0,0.9,22
2021-06-02,BAGUETTE,20.0,0.9,17
2021-06-03,BAGUETTE,19.0,0.9,15
2021-06-04,BAGUETTE,31.0,0.9,24
2021-06-05,BAGUETTE,70.0,0.9,38
2021-06-06,BAGUETTE,78.0,0.9,41
2021-06-07,BAGUETTE,28.0,0.9,23
2021-06-08,BAGUETTE,29.0,0.9,24
2021-06-09,BAGUETTE,24.0,0.9,16
2021-06-10,BAGUETTE,29.0,0.9,19
2021-06-11,BAGUETTE,22.0,0.9,18
2021-06-12,BAGUETTE,40.0,0.9,28
2021-06-13,BAGUETTE,54.0,0.9,33
2021-06-14,BAGUETTE,39.0,0.9,32
2021-06-15,BAGUETTE,19.0,0.9,18
2021-06-16,BAGUETTE,22.0,0.9,20
2021-06-17,BAGUETTE,28.0,0.9,24
2021-06-18,BAGUETTE,26.0,0.9,21
2021-06-19,BAGUETTE,50.0,0.9,28
2021-06-20,BAGUETTE,60.0,0.9,41
2021-06-21,BAGUETTE,38.0,0.9,28
2021-06-22,BAGUETTE,35.0,0.9,30
2021-06-23,BAGUETTE,22.0,0.9,18
2021-06-24,BAGUETTE,34.0,0.9,19
2021-06-25,BAGUETTE,23.0,0.9,16
2021-06-26,BAGUETTE,50.0,0.9,27
2021-06-27,BAGUETTE,51.0,0.9,37
2021-06-28,BAGUETTE,18.0,0.9,15
2021-06-29,BAGUETTE,27.0,0.9,21
2021-06-30,BAGUETTE,21.0,0.9,18
2021-07-01,BAGUETTE,27.0,0.9,24
2021-07-02,BAGUETTE,21.0,0.9,17
2021-07-03,BAGUETTE,35.0,0.9,24
2021-07-04,BAGUETTE,58.0,0.9,34
2021-07-05,BAGUETTE,34.0,0.9,23
2021-07-06,BAGUETTE,37.0,0.9,25
2021-07-07,BAGUETTE,40.0,0.9,27
2021-07-08,BAGUETTE,33.0,0.9,24
2021-07-09,BAGUETTE,36.0,0.9,27
2021-07-10,BAGUETTE,36.0,0.9,26
2021-07-11,BAGUETTE,75.0,0.9,49
2021-07-12,BAGUETTE,49.0,0.9,38
2021-07-13,BAGUETTE,51.0,0.9,38
2021-07-14,BAGUETTE,63.0,0.9,36
2021-07-15,BAGUETTE,51.0,0.9,43
2021-07-16,BAGUETTE,62.0,0.9,33
2021-07-17,BAGUETTE,55.0,0.9,35
2021-07-18,BAGUETTE,105.0,0.9,58
2021-07-19,BAGUETTE,42.0,0.9,29
2021-07-20,BAGUETTE,56.0,0.9,38
2021-07-21,BAGUETTE,55.0,0.9,38
2021-07-22,BAGUETTE,62.0,0.9,46
2021-07-23,BAGUETTE,56.0,0.9,38
2021-07-24,BAGUETTE,59.0,0.9,38
2021-07-25,BAGUETTE,89.0,0.9,50
2021-07-26,BAGUETTE,56.0,0.9,38
2021-07-27,BAGUETTE,39.0,0.9,27
2021-07-28,BAGUETTE,48.0,0.9,34
2021-07-29,BAGUETTE,56.0,0.9,32
2021-07-30,BAGUETTE,63.0,0.9,38
2021-07-31,BAGUETTE,53.0,0.9,34
2021-08-01,BAGUETTE,78.0,0.9,48
2021-08-02,BAGUETTE,69.0,0.9,54
2021-08-03,BAGUETTE,84.0,0.9,56
2021-08-04,BAGUETTE,57.0,0.9,42
2021-08-05,BAGUETTE,46.0,0.9,37
2021-08-06,BAGUETTE,51.0,0.9,31
2021-08-07,BAGUETTE,64.0,0.9,49
2021-08-08,BAGUETTE,88.0,0.9,52
2021-08-09,BAGUETTE,69.0,0.9,51
2021-08-10,BAGUETTE,58.0,0.9,41
2021-08-11,BAGUETTE,69.0,0.9,49
2021-08-12,BAGUETTE,80.0,0.9,50
2021-08-13,BAGUETTE,56.0,0.9,38
2021-08-14,BAGUETTE,64.0,0.9,43
2021-08-15,BAGUETTE,103.0,0.9,62
2021-08-16,BAGUETTE,53.0,0.9,43
2021-08-17,BAGUETTE,55.0,0.9,42
2021-08-18,BAGUETTE,55.0,0.9,39
2021-08-19,BAGUETTE,53.0,0.9,35
2021-08-20,BAGUETTE,55.0,0.9,36
2021-08-21,BAGUETTE,74.0,0.9,45
2021-08-22,BAGUETTE,68.0,0.9,48
2021-08-23,BAGUETTE,69.0,0.9,52
2021-08-24,BAGUETTE,81.0,0.9,50
2021-08-25,BAGUETTE,55.0,0.9,37
2021-08-26,BAGUETTE,68.0,0.9,45
2021-08-27,BAGUETTE,38.0,0.9,30
2021-08-28,BAGUETTE,65.0,0.9,38
2021-08-29,BAGUETTE,76.0,0.9,54
2021-08-30,BAGUETTE,33.0,0.9,23
2021-08-31,BAGUETTE,35.0,0.9,23
2021-09-01,BAGUETTE,33.0,0.9,25
2021-09-02,BAGUETTE,29.0,0.9,26
2021-09-03,BAGUETTE,36.0,0.9,32
2021-09-04,BAGUETTE,49.0,0.9,32
2021-09-05,BAGUETTE,76.0,0.9,48
2021-09-06,BAGUETTE,38.0,0.9,27
2021-09-07,BAGUETTE,47.0,0.9,27
2021-09-08,BAGUETTE,18.0,0.9,16
2021-09-09,BAGUETTE,39.0,0.9,29
2021-09-10,BAGUETTE,32.0,0.9,26
2021-09-11,BAGUETTE,67.0,0.9,35
2021-09-12,BAGUETTE,68.0,0.9,43
2021-09-13,BAGUETTE,47.0,0.9,36
2021-09-14,BAGUETTE,24.0,0.9,22
2021-09-15,BAGUETTE,24.0,0.9,17
2021-09-16,BAGUETTE,37.0,0.9,30
2021-09-17,BAGUETTE,29.0,0.9,21
2021-09-18,BAGUETTE,48.0,0.9,23
2021-09-19,BAGUETTE,39.0,0.9,28
2021-09-20,BAGUETTE,29.0,0.9,25
2021-09-21,BAGUETTE,24.0,0.9,17
2021-09-22,BAGUETTE,3.0,0.9,2
2021-09-23,BAGUETTE,27.0,0.9,17
2021-09-24,BAGUETTE,43.0,0.9,24
2021-09-25,BAGUETTE,42.0,0.9,25
2021-09-26,BAGUETTE,45.0,0.9,23
2021-09-27,BAGUETTE,24.0,0.9,19
2021-09-28,BAGUETTE,27.0,0.9,19
2021-09-29,BAGUETTE,17.0,0.9,15
2021-09-30,BAGUETTE,22.0,0.9,16
2021-10-01,BAGUETTE,27.0,0.9,16
2021-10-02,BAGUETTE,32.0,0.9,21
2021-10-03,BAGUETTE,41.0,0.9,28
2021-10-04,BAGUETTE,29.0,0.9,22
2021-10-05,BAGUETTE,24.0,0.9,18
2021-10-06,BAGUETTE,22.0,0.9,19
2021-10-07,BAGUETTE,33.0,0.9,23
2021-10-08,BAGUETTE,24.0,0.9,18
2021-10-09,BAGUETTE,44.0,0.9,30
2021-10-10,BAGUETTE,48.0,0.9,37
2021-10-11,BAGUETTE,28.0,0.9,21
2021-10-12,BAGUETTE,15.0,0.9,10
2021-10-13,BAGUETTE,11.0,0.9,10
2021-10-14,BAGUETTE,21.0,0.9,14
2021-10-15,BAGUETTE,18.0,0.9,14
2021-10-16,BAGUETTE,27.0,0.9,21
2021-10-17,BAGUETTE,49.0,0.9,24
2021-10-18,BAGUETTE,28.0,0.9,19
2021-10-19,BAGUETTE,19.0,0.9,18
2021-10-20,BAGUETTE,14.0,0.9,13
2021-10-21,BAGUETTE,33.0,0.9,19
2021-10-22,BAGUETTE,31.0,0.9,21
2021-10-23,BAGUETTE,48.0,0.9,25
2021-10-24,BAGUETTE,54.0,0.9,40
2021-10-25,BAGUETTE,40.0,0.9,30
2021-10-26,BAGUETTE,38.0,0.9,27
2021-10-27,BAGUETTE,23.0,0.9,18
2021-10-28,BAGUETTE,24.0,0.9,20
2021-10-29,BAGUETTE,38.0,0.9,26
2021-10-30,BAGUETTE,46.0,0.9,26
2021-10-31,BAGUETTE,55.0,0.9,34
2021-11-01,BAGUETTE,31.0,0.9,26
2021-11-02,BAGUETTE,27.0,0.9,18
2021-11-03,BAGUETTE,47.0,0.9,23
2021-11-04,BAGUETTE,25.0,0.9,21
2021-11-05,BAGUETTE,33.0,0.9,18
2021-11-06,BAGUETTE,27.0,0.9,18
2021-11-07,BAGUETTE,31.0,0.9,24
2021-11-08,BAGUETTE,62.0,0.9,17
2021-11-09,BAGUETTE,43.0,0.9,17
2021-11-10,BAGUETTE,17.0,0.9,13
2021-11-11,BAGUETTE,30.0,0.9,22
2021-11-12,BAGUETTE,16.0,0.9,15
2021-11-13,BAGUETTE,25.0,0.9,21
2021-11-14,BAGUETTE,38.0,0.9,23
2021-11-15,BAGUETTE,27.0,0.9,19
2021-11-16,BAGUETTE,16.0,0.9,14
2021-11-18,BAGUETTE,20.0,0.9,17
2021-11-19,BAGUETTE,26.0,0.9,21
2021-11-20,BAGUETTE,38.0,0.9,18
2021-11-21,BAGUETTE,36.0,0.9,21
2021-11-22,BAGUETTE,14.0,0.9,14
2021-11-23,BAGUETTE,23.0,0.9,17
2021-11-25,BAGUETTE,25.0,0.9,18
2021-11-26,BAGUETTE,18.0,0.9,13
2021-11-27,BAGUETTE,35.0,0.9,18
2021-11-28,BAGUETTE,45.0,0.9,28
2021-11-29,BAGUETTE,28.0,0.9,23
2021-11-30,BAGUETTE,21.0,0.9,17
2021-12-02,BAGUETTE,16.0,0.9,14
2021-12-03,BAGUETTE,28.0,0.9,18
2021-12-04,BAGUETTE,20.0,0.9,15
2021-12-05,BAGUETTE,40.0,0.9,24
2021-12-09,BAGUETTE,21.0,0.9,18
2021-12-10,BAGUETTE,20.0,0.9,13
2021-12-11,BAGUETTE,33.0,0.9,17
2021-12-12,BAGUETTE,33.0,0.9,23
2021-12-13,BAGUETTE,19.0,0.9,17
2021-12-14,BAGUETTE,18.0,0.9,16
2021-12-16,BAGUETTE,19.0,0.9,15
2021-12-17,BAGUETTE,30.0,0.9,18
2021-12-18,BAGUETTE,36.0,0.9,17
2021-12-19,BAGUETTE,35.0,0.9,26
2021-12-20,BAGUETTE,26.0,0.9,23
2021-12-21,BAGUETTE,27.0,0.9,20
2021-12-22,BAGUETTE,18.0,0.9,17
2021-12-23,BAGUETTE,29.0,0.9,19
2021-12-24,BAGUETTE,36.0,0.9,26
2021-12-25,BAGUETTE,32.0,0.9,21
2021-12-26,BAGUETTE,32.0,0.9,23
2021-12-27,BAGUETTE,36.0,0.9,17
2021-12-28,BAGUETTE,42.0,0.9,26
2021-12-29,BAGUETTE,35.0,0.9,23
2021-12-30,BAGUETTE,29.0,0.9,23
2021-12-31,BAGUETTE,49.0,0.9,33
2022-01-02,BAGUETTE,55.0,0.9,42
2022-01-03,BAGUETTE,15.0,0.9,13
2022-01-04,BAGUETTE,1.0,0.9,1
2022-01-06,BAGUETTE,23.0,0.9,16
2022-01-07,BAGUETTE,16.0,0.9,14
2022-01-08,BAGUETTE,20.0,0.9,15
2022-01-09,BAGUETTE,27.0,0.9,22
2022-01-10,BAGUETTE,23.0,0.9,15
2022-01-11,BAGUETTE,17.0,0.9,15
2022-01-13,BAGUETTE,15.0,0.9,13
2022-01-14,BAGUETTE,19.0,0.9,16
2022-01-15,BAGUETTE,27.0,0.9,14
2022-01-16,BAGUETTE,33.0,0.9,22
2022-01-17,BAGUETTE,19.0,0.9,16
2022-01-18,BAGUETTE,18.0,0.9,17
2022-01-20,BAGUETTE,20.0,0.9,15
2022-01-21,BAGUETTE,24.0,0.9,16
2022-01-22,BAGUETTE,29.0,0.9,20
2022-01-23,BAGUETTE,51.0,0.9,30
2022-01-24,BAGUETTE,19.0,0.9,18
2022-01-25,BAGUETTE,24.0,0.9,15
2022-01-27,BAGUETTE,28.0,0.9,19
2022-01-28,BAGUETTE,23.0,0.9,14
2022-01-29,BAGUETTE,24.0,0.9,14
2022-01-30,BAGUETTE,35.0,0.9,25
2022-01-31,BAGUETTE,17.0,0.9,17
2022-02-01,BAGUETTE,25.0,0.9,19
2022-02-03,BAGUETTE,23.0,0.9,18
2022-02-04,BAGUETTE,21.0,0.9,14
2022-02-05,BAGUETTE,24.0,0.9,19
2022-02-06,BAGUETTE,55.0,0.9,34
2022-02-07,BAGUETTE,27.0,0.95,21
2022-02-08,BAGUETTE,31.0,0.95,25
2022-02-10,BAGUETTE,27.0,0.95,22
2022-02-11,BAGUETTE,23.0,0.95,16
2022-02-12,BAGUETTE,21.0,0.95,17
2022-02-13,BAGUETTE,45.0,0.95,30
2022-02-14,BAGUETTE,29.0,0.95,23
2022-02-15,BAGUETTE,31.0,0.95,24
2022-02-17,BAGUETTE,36.0,0.95,27
2022-02-18,BAGUETTE,39.0,0.95,26
2022-02-19,BAGUETTE,45.0,0.95,22
2022-02-20,BAGUETTE,43.0,0.95,34
2022-02-21,BAGUETTE,24.0,0.95,19
2022-02-22,BAGUETTE,31.0,0.95,25
2022-02-24,BAGUETTE,31.0,0.95,23
2022-02-25,BAGUETTE,36.0,0.95,28
2022-02-26,BAGUETTE,38.0,0.95,24
2022-02-27,BAGUETTE,61.0,0.95,39
2022-02-28,BAGUETTE,23.0,0.95,19
2022-03-01,BAGUETTE,28.0,0.95,26
2022-03-02,BAGUETTE,10.0,0.95,9
2022-03-03,BAGUETTE,24.0,0.95,18
2022-03-04,BAGUETTE,26.0,0.95,18
2022-03-05,BAGUETTE,39.0,0.95,25
2022-03-06,BAGUETTE,47.0,0.95,29
2022-03-07,BAGUETTE,25.0,0.95,21
2022-03-08,BAGUETTE,25.0,0.95,16
2022-03-09,BAGUETTE,17.0,0.95,16
2022-03-10,BAGUETTE,19.0,0.95,14
2022-03-11,BAGUETTE,26.0,0.95,14
2022-03-12,BAGUETTE,27.0,0.95,17
2022-03-13,BAGUETTE,36.0,0.95,30
2022-03-14,BAGUETTE,24.0,0.95,21
2022-03-15,BAGUETTE,28.0,0.95,21
2022-03-16,BAGUETTE,20.0,0.95,12
2022-03-17,BAGUETTE,10.0,0.95,8
2022-03-18,BAGUETTE,17.0,0.95,16
2022-03-19,BAGUETTE,28.0,0.95,18
2022-03-20,BAGUETTE,32.0,0.95,24
2022-03-21,BAGUETTE,30.0,0.95,24
2022-03-22,BAGUETTE,17.0,0.95,15
2022-03-23,BAGUETTE,16.0,0.95,12
2022-03-24,BAGUETTE,12.0,0.95,10
2022-03-25,BAGUETTE,26.0,0.95,15
2022-03-26,BAGUETTE,32.0,0.95,23
2022-03-27,BAGUETTE,42.0,0.95,30
2022-03-28,BAGUETTE,23.0,0.95,19
2022-03-29,BAGUETTE,20.0,0.95,16
2022-03-30,BAGUETTE,15.0,0.95,14
2022-03-31,BAGUETTE,25.0,0.95,18
2022-04-01,BAGUETTE,29.0,0.95,19
2022-04-02,BAGUETTE,23.0,0.95,15
2022-04-03,BAGUETTE,32.0,0.95,17
2022-04-04,BAGUETTE,16.0,0.95,16
2022-04-05,BAGUETTE,15.0,0.95,13
2022-04-06,BAGUETTE,27.0,0.95,16
2022-04-07,BAGUETTE,14.0,0.95,13
2022-04-08,BAGUETTE,23.0,0.95,15
2022-04-09,BAGUETTE,36.0,0.95,23
2022-04-10,BAGUETTE,48.0,0.95,27
2022-04-11,BAGUETTE,35.0,0.95,30
2022-04-12,BAGUETTE,16.0,0.95,13
2022-04-13,BAGUETTE,36.0,0.95,28
2022-04-14,BAGUETTE,30.0,0.95,18
2022-04-15,BAGUETTE,46.0,0.95,24
2022-04-16,BAGUETTE,57.0,0.95,35
2022-04-17,BAGUETTE,37.0,0.95,20
2022-04-18,BAGUETTE,68.0,0.95,36
2022-04-19,BAGUETTE,28.0,0.95,20
2022-04-20,BAGUETTE,20.0,0.95,17
2022-04-21,BAGUETTE,47.0,0.95,31
2022-04-22,BAGUETTE,28.0,0.95,19
2022-04-23,BAGUETTE,33.0,0.95,24
2022-04-24,BAGUETTE,41.0,0.95,24
2022-04-25,BAGUETTE,24.0,0.95,21
2022-04-26,BAGUETTE,19.0,0.95,16
2022-04-27,BAGUETTE,19.0,0.95,13
2022-04-28,BAGUETTE,23.0,0.95,19
2022-04-29,BAGUETTE,25.0,0.95,16
2022-04-30,BAGUETTE,52.0,0.95,31
2022-05-01,BAGUETTE,64.0,0.95,37
2022-05-02,BAGUETTE,24.0,0.95,21
2022-05-03,BAGUETTE,22.0,0.95,14
2022-05-05,BAGUETTE,17.0,0.95,15
2022-05-06,BAGUETTE,40.0,0.95,18
2022-05-07,BAGUETTE,36.0,0.95,25
2022-05-08,BAGUETTE,45.0,0.95,29
2022-05-09,BAGUETTE,21.0,0.95,19
2022-05-10,BAGUETTE,18.0,0.95,15
2022-05-11,BAGUETTE,27.0,0.95,19
2022-05-12,BAGUETTE,24.0,0.95,18
2022-05-13,BAGUETTE,22.0,0.95,18
2022-05-14,BAGUETTE,37.0,0.95,22
2022-05-15,BAGUETTE,50.0,0.95,35
2022-05-16,BAGUETTE,37.0,0.95,30
2022-05-17,BAGUETTE,25.0,0.95,17
2022-05-18,BAGUETTE,25.0,0.95,21
2022-05-19,BAGUETTE,21.0,0.95,18
2022-05-20,BAGUETTE,30.0,0.95,14
2022-05-21,BAGUETTE,49.0,0.95,28
2022-05-22,BAGUETTE,57.0,0.95,45
2022-05-23,BAGUETTE,28.0,0.95,23
2022-05-24,BAGUETTE,20.0,0.95,16
2022-05-25,BAGUETTE,31.0,0.95,23
2022-05-26,BAGUETTE,46.0,0.95,39
2022-05-27,BAGUETTE,64.0,0.95,46
2022-05-28,BAGUETTE,55.0,0.95,31
2022-05-29,BAGUETTE,72.0,0.95,48
2022-05-30,BAGUETTE,36.0,0.95,30
2022-05-31,BAGUETTE,29.0,0.95,22
2022-06-01,BAGUETTE,33.0,0.95,23
2022-06-02,BAGUETTE,33.0,0.95,25
2022-06-03,BAGUETTE,36.0,0.95,25
2022-06-04,BAGUETTE,36.0,0.95,21
2022-06-05,BAGUETTE,86.0,0.95,48
2022-06-06,BAGUETTE,62.0,0.95,34
2022-06-07,BAGUETTE,44.0,0.95,29
2022-06-08,BAGUETTE,36.0,0.95,28
2022-06-09,BAGUETTE,18.0,0.95,15
2022-06-10,BAGUETTE,18.0,0.95,16
2022-06-11,BAGUETTE,44.0,0.95,30
2022-06-12,BAGUETTE,47.0,0.95,33
2022-06-13,BAGUETTE,39.0,0.95,33
2022-06-14,BAGUETTE,34.0,0.95,29
2022-06-15,BAGUETTE,32.0,0.95,18
2022-06-16,BAGUETTE,25.0,0.95,18
2022-06-17,BAGUETTE,21.0,0.95,17
2022-06-18,BAGUETTE,38.0,0.95,24
2022-06-19,BAGUETTE,52.0,0.95,29
2022-06-20,BAGUETTE,16.0,0.95,15
2022-06-21,BAGUETTE,28.0,0.95,20
2022-06-22,BAGUETTE,20.0,0.95,18
2022-06-23,BAGUETTE,33.0,0.95,19
2022-06-24,BAGUETTE,31.0,0.95,22
2022-06-25,BAGUETTE,33.0,0.95,27
2022-06-26,BAGUETTE,44.0,0.95,31
2022-06-27,BAGUETTE,29.0,0.95,22
2022-06-28,BAGUETTE,32.0,0.95,18
2022-06-29,BAGUETTE,17.0,1.0,16
2022-06-30,BAGUETTE,27.0,1.0,22
